ActivityName SubjectID tBodyAccMeanX tBodyAccMeanY tBodyAccMeanZ tBodyAccStdX tBodyAccStdY tBodyAccStdZ tGravityAccMeanX tGravityAccMeanY tGravityAccMeanZ tGravityAccStdX tGravityAccStdY tGravityAccStdZ tBodyAccJerkMeanX tBodyAccJerkMeanY tBodyAccJerkMeanZ tBodyAccJerkStdX tBodyAccJerkStdY tBodyAccJerkStdZ tBodyGyroMeanX tBodyGyroMeanY tBodyGyroMeanZ tBodyGyroStdX tBodyGyroStdY tBodyGyroStdZ tBodyGyroJerkMeanX tBodyGyroJerkMeanY tBodyGyroJerkMeanZ tBodyGyroJerkStdX tBodyGyroJerkStdY tBodyGyroJerkStdZ tBodyAccMagMean tBodyAccMagStd tGravityAccMagMean tGravityAccMagStd tBodyAccJerkMagMean tBodyAccJerkMagStd tBodyGyroMagMean tBodyGyroMagStd tBodyGyroJerkMagMean tBodyGyroJerkMagStd fBodyAccMeanX fBodyAccMeanY fBodyAccMeanZ fBodyAccStdX fBodyAccStdY fBodyAccStdZ fBodyAccJerkMeanX fBodyAccJerkMeanY fBodyAccJerkMeanZ fBodyAccJerkStdX fBodyAccJerkStdY fBodyAccJerkStdZ fBodyGyroMeanX fBodyGyroMeanY fBodyGyroMeanZ fBodyGyroStdX fBodyGyroStdY fBodyGyroStdZ fBodyAccMagMean fBodyAccMagStd fBodyBodyAccJerkMagMean fBodyBodyAccJerkMagStd fBodyBodyGyroMagMean fBodyBodyGyroMagStd fBodyBodyGyroJerkMagMean fBodyBodyGyroJerkMagStd
11 WALKING_DOWNSTAIRS -0.0615055 0.17408171 0.031555899 -0.82614082 -0.32374064 -0.80769517 0.69555133 0.35706445 0.41095272 -0.53961809 -0.36062852 -0.67657867 0.16205974 -0.24997021 -0.11055773 -0.94395528 -0.90438655 -0.94309361 -0.034481072 -0.14998863 0.26791095 -0.9555664 -0.86879771 -0.79234198 -0.10240147 -0.081427992 0.094712913 -0.95957124 -0.9452008 -0.92013436 -0.58351373 -0.36287703 -0.58351373 -0.36287703 -0.93313071 -0.92197237 -0.83244058 -0.90702546 -0.95405729 -0.92989634 -0.85805793 -0.5464378 -0.84856762 -0.81472746 -0.27163582 -0.8005273 -0.94142041 -0.90488331 -0.93286702 -0.95227889 -0.91067982 -0.95253281 -0.94757475 -0.89010618 -0.76693668 -0.95807389 -0.85795425 -0.82025471 -0.58863824 -0.36475029 -0.92878613 -0.91229628 -0.91469874 -0.91745378 -0.93715759 -0.92549271 4
12 WALKING -0.041701306 0.17510248 0.025551778 -0.75839283 -0.58653735 -0.43911019 0.81080506 0.19559534 0.38713197 -0.80474333 -0.73280728 -0.84969761 0.050456562 0.090830365 0.0053317431 -0.85803037 -0.84002483 -0.8962204 -0.0038232806 0.019187316 -0.050212092 -0.72058157 -0.48896854 -0.50932463 -0.095521677 -0.067817006 -0.040522627 -0.88630796 -0.87419654 -0.84808876 -0.50739668 -0.49055481 -0.50739668 -0.49055481 -0.86678801 -0.83897844 -0.59287987 -0.35701417 -0.88878839 -0.85172027 -0.81335631 -0.70656744 -0.70433301 -0.73954717 -0.5594663 -0.3690514 -0.8667756 -0.84357581 -0.89207213 -0.86126158 -0.84714569 -0.89848012 -0.77404985 -0.6872257 -0.68464064 -0.71281525 -0.40157813 -0.50884639 -0.68219367 -0.4881476 -0.85131788 -0.82288377 -0.65163072 -0.3117463 -0.87238357 -0.83747045 4
13 STANDING -0.029595164 -0.13771658 -0.12278182 0.036094531 0.26943433 -0.37921955 0.95827895 -0.24309075 -0.022369557 -0.85358998 -0.51337865 -0.89228226 0.24937887 0.4149836 0.35314339 -0.19788083 -0.050847449 -0.65674843 -0.64517471 0.27697546 -0.081676094 -0.43419059 -0.51997862 -0.38588151 -0.14443064 -0.19878135 0.20781369 -0.24436863 -0.65576509 -0.37893065 0.15615798 -0.1774724 0.15615798 -0.1774724 -0.20529658 -0.3122223 -0.081221383 -0.38432013 -0.48516103 -0.56875607 -0.030047236 0.23197261 -0.45264903 0.06104594 0.20884569 -0.38764408 -0.21375941 -0.14302558 -0.61427522 -0.25321035 -0.012703229 -0.69842962 -0.27433448 -0.52554659 -0.2385751 -0.48492496 -0.51989474 -0.49891395 -0.18266587 -0.30204231 -0.24164334 -0.41921054 -0.41777535 -0.46698041 -0.58931445 -0.57097725 2
14 STANDING -0.01321445 -0.15509928 -0.09292978 0.091097322 0.32222134 -0.39773749 0.95709725 -0.25615715 -0.036020238 -0.84328684 -0.56136063 -0.92508358 -0.24853637 0.62034416 0.35648213 -0.17378025 -0.10129752 -0.60140821 0.38757936 -0.12727854 -0.098549556 -0.43200577 -0.52374683 -0.4223591 -0.27332036 -0.14094839 0.12802924 -0.25217861 -0.66539937 -0.36571915 0.18598059 -0.042373741 0.18598059 -0.042373741 -0.17851163 -0.35604995 -0.21921385 -0.49790427 -0.46737246 -0.63396873 0.018897961 0.28463453 -0.42173676 0.11830489 0.25835206 -0.43188945 -0.2523458 -0.24272325 -0.58949449 -0.16556352 -0.011976403 -0.6109978 -0.22532553 -0.57960766 -0.29647511 -0.49851228 -0.49554193 -0.52303926 -0.14980893 -0.13599486 -0.30780849 -0.42507084 -0.50335948 -0.58158655 -0.62313054 -0.67272574 2
15 WALKING 0.013903671 0.15329608 0.016242945 -0.80863778 -0.57274619 -0.62641542 0.70308608 0.31406786 0.43977403 -0.59632839 -0.53455402 -0.64299102 0.17843808 -0.11966443 -0.25914034 -0.92242832 -0.93646888 -0.95518789 -0.0045972195 -0.15669611 0.060405191 -0.92572959 -0.89701675 -0.72055919 -0.18174043 -0.014079617 0.047204388 -0.9636738 -0.95824501 -0.9490345 -0.62102725 -0.48451097 -0.62102725 -0.48451097 -0.94302661 -0.91068062 -0.85361742 -0.81063604 -0.9660986 -0.9471408 -0.85010909 -0.76166325 -0.72770498 -0.79420134 -0.52521634 -0.6046235 -0.92109636 -0.93762977 -0.94925418 -0.93108771 -0.93956888 -0.95970531 -0.88630279 -0.91679646 -0.78006986 -0.93920178 -0.88702317 -0.72890522 -0.69185852 -0.47811404 -0.91377977 -0.90566871 -0.85722556 -0.81369615 -0.94761761 -0.94961434 4
16 WALKING 0.019016151 -0.0070373566 -0.028333356 -0.66129361 -0.71335257 -0.70115517 0.044743889 0.75845367 0.50493607 -0.31213364 -0.77139191 -0.62099753 0.33481779 -0.087342242 -0.24078322 -0.919918 -0.86741319 -0.9290315 0.20204982 0.040694905 0.73162657 -0.88716564 -0.91599042 -0.87226754 -0.11950341 -0.033136459 -0.081185235 -0.93524056 -0.93776472 -0.93483004 -0.72162699 -0.41726279 -0.72162699 -0.41726279 -0.9219028 -0.86582785 -0.6073844 -0.79933651 -0.95018467 -0.91945032 -0.66860442 -0.78963798 -0.73499812 -0.65825324 -0.6965821 -0.70531714 -0.91582762 -0.85963 -0.91560292 -0.93244267 -0.88786172 -0.94207282 -0.89235795 -0.91669974 -0.87882562 -0.88720193 -0.91605302 -0.88165396 -0.47786351 -0.47576196 -0.86488401 -0.86628146 -0.87785926 -0.78956074 -0.93188247 -0.90994766 6
17 SITTING 0.051028466 0.0065653695 -0.11217226 -0.60869833 -0.6509741 -0.83342996 -0.34301016 0.86246024 0.463362 -0.20474849 -0.73272616 -0.91387976 0.3307512 -0.04269944 -0.060121755 -0.89068553 -0.70352768 -0.88589443 0.15116583 -0.22362178 0.71543772 -0.8697844 -0.92614353 -0.82611812 -0.13405412 -0.030192121 -0.11996395 -0.83606282 -0.95474748 -0.89864183 -0.68068386 -0.44428454 -0.68068386 -0.44428454 -0.81951975 -0.82632874 -0.63887504 -0.76956798 -0.90963703 -0.91511806 -0.65389448 -0.66946696 -0.83887952 -0.59201195 -0.66264189 -0.84282882 -0.88684091 -0.71907171 -0.86427345 -0.90548764 -0.70606886 -0.90789325 -0.81907818 -0.92859044 -0.83648129 -0.88619242 -0.92508479 -0.83853387 -0.51236131 -0.49517024 -0.82073419 -0.83355778 -0.82798018 -0.7725624 -0.91430849 -0.92181616 6
18 WALKING_DOWNSTAIRS 0.058825669 -0.1086128 -0.076527896 -0.46700175 -0.13779586 -0.41498046 0.91875957 -0.34508795 -0.15338932 -0.87410345 -0.71747128 -0.92844395 0.10652535 0.42197244 -0.023811482 -0.58539994 -0.46119393 -0.76298065 0.25671397 -0.25816231 -0.073977483 -0.7115397 -0.69110551 -0.56886409 -0.1296897 -0.073352052 -0.30171475 -0.65526295 -0.8721137 -0.66164757 -0.29939359 -0.48386794 -0.29939359 -0.48386794 -0.57386344 -0.5895325 -0.50665424 -0.67259026 -0.76022084 -0.82434633 -0.55324672 -0.21657982 -0.59630647 -0.43642442 -0.15217525 -0.37312607 -0.60259682 -0.51813319 -0.7422328 -0.6039685 -0.43467723 -0.78177563 -0.66722742 -0.77242608 -0.51611886 -0.72621318 -0.65213012 -0.62695263 -0.46928319 -0.57192315 -0.56635443 -0.62334811 -0.72043163 -0.69653875 -0.82627283 -0.83390359 2
19 SITTING 0.061186573 -0.011163862 -0.036830383 -0.65890002 -0.66052635 -0.84146596 -0.36643171 0.95461863 0.20069685 -0.21688991 -0.70639639 -0.79243443 0.34736408 -0.069207846 -0.11038511 -0.93562696 -0.75393344 -0.94899178 0.13732838 -0.10627736 0.71021962 -0.90068286 -0.91355439 -0.90408301 -0.098611893 -0.042735141 -0.10196304 -0.90611815 -0.94855391 -0.93984026 -0.73323008 -0.45057543 -0.73323008 -0.45057543 -0.90231029 -0.80805202 -0.65615091 -0.84588061 -0.94440746 -0.92675501 -0.66618969 -0.68351163 -0.86587779 -0.65586139 -0.66934703 -0.83974588 -0.93070857 -0.76040399 -0.94560605 -0.94795194 -0.76363226 -0.95063483 -0.88028212 -0.91752849 -0.89622893 -0.90715107 -0.91168494 -0.91544432 -0.52118232 -0.49931721 -0.83323289 -0.77916657 -0.89267878 -0.84397968 -0.93522006 -0.92125258 6
20 LAYING 0.070536278 0.0058903436 -0.19888667 -0.94441162 -0.88586039 -0.90020497 -0.32542271 0.95487448 0.21956805 -0.83275404 -0.94665727 -0.83028821 0.050660107 0.013704276 0.040532141 -0.94279831 -0.86316392 -0.9474123 -0.0042757287 -0.0011387541 0.093784111 -0.92186792 -0.9161882 -0.89373338 -0.13022128 -0.033579505 -0.06936369 -0.92012755 -0.9312962 -0.90996392 -0.82907535 -0.92968759 -0.82907535 -0.92968759 -0.91389589 -0.92728431 -0.89620323 -0.90375989 -0.92080749 -0.94492231 -0.93587784 -0.8779143 -0.91134455 -0.94807991 -0.89663233 -0.9008757 -0.94475246 -0.87247351 -0.93797184 -0.94573552 -0.86180552 -0.95600125 -0.8967858 -0.90704659 -0.87419286 -0.92981292 -0.92291252 -0.9106484 -0.92525721 -0.94224408 -0.91814837 -0.93897069 -0.91585583 -0.91179378 -0.93897016 -0.95776854 6
21 WALKING_UPSTAIRS 0.071035289 -0.015656183 -0.094263452 -0.21342438 0.065906916 -0.37962343 0.91002736 -0.34639809 0.016778253 -0.91012543 -0.94978266 -0.93857594 0.33037553 -0.13658129 -0.20774916 -0.16207892 -0.070046777 -0.56313033 0.020868138 -0.19800124 0.12828895 -0.50817512 -0.56995927 -0.39320816 0.11365886 0.097646903 0.00508973 -0.591773 -0.75020379 -0.50508458 -0.15765539 -0.080181111 -0.15765539 -0.080181111 -0.25588863 -0.077301869 -0.40134671 -0.59995598 -0.66380035 -0.70418969 -0.15854785 0.023406741 -0.43781833 -0.23609341 0.020824408 -0.39610822 -0.087942455 -0.10985979 -0.48861527 -0.33689897 -0.088642861 -0.6412226 -0.42671728 -0.60756542 -0.33015689 -0.53490308 -0.55121424 -0.47079876 0.0015644208 -0.27272499 -0.025543527 -0.15358218 -0.62730392 -0.64960266 -0.69065951 -0.7441943 3
22 WALKING_UPSTAIRS 0.073728786 -0.14822575 -0.24110951 -0.35922813 0.17063542 0.139023 0.74252899 -0.25001385 -0.53088483 -0.7512596 -0.67553109 -0.79221644 -0.028058585 0.05079396 -0.29246569 -0.37793475 -0.29188397 -0.50172645 -0.4373822 0.26030642 0.5954912 -0.39797267 -0.58067577 0.02011086 0.095818481 -0.10840566 0.015118217 -0.42660766 -0.65936327 -0.45675853 -0.016179243 -0.23870239 -0.016179243 -0.23870239 -0.35979074 -0.34350115 -0.12699625 -0.2598296 -0.57712838 -0.58143789 -0.3618939 -0.054354654 -0.13221783 -0.35809733 0.20197994 0.18612216 -0.36002925 -0.31670555 -0.47569101 -0.45710393 -0.31261723 -0.52496231 -0.31821636 -0.56824884 -0.17214089 -0.42521454 -0.59147077 -0.017607759 -0.22024203 -0.36740946 -0.3685373 -0.31599241 -0.40557815 -0.29258889 -0.57903337 -0.6123658 2
23 STANDING 0.074787876 -0.026592228 -0.10057134 0.20147793 0.11969155 -0.43397248 0.95083314 -0.10488763 0.040835978 -0.92074151 -0.91804706 -0.9674581 0.46960703 -0.20970395 -0.041684344 0.015163849 0.141391 -0.62576388 -0.21100876 -0.088868815 0.045970809 -0.373011 -0.50754519 -0.20611092 0.2547741 -0.151246 0.01447285 -0.46248003 -0.58929029 0.058334471 0.14878625 0.15154892 0.14878625 0.15154892 -0.11515472 0.07350915 -0.26746489 -0.35732694 -0.44176354 -0.44321656 0.10585568 0.13437756 -0.4925053 0.23711564 0.040705821 -0.44600654 0.0071101599 0.0030188546 -0.60644529 -0.068447781 0.21519449 -0.64257006 -0.22950571 -0.46632173 0.046619169 -0.41868024 -0.53832085 -0.38204423 0.0384892 0.031050958 0.053836018 0.090455348 -0.31285437 -0.50825422 -0.419981 -0.51628614 3
24 STANDING 0.075547189 0.035737002 -0.08603353 0.21615325 -0.26333146 -0.37321255 0.96558744 -0.019855029 0.003220254 -0.97383316 -0.88916075 -0.95966298 0.29325212 -0.24288423 -0.14056227 -0.021189892 -0.26495753 -0.53817098 0.44397382 -0.1707591 0.15793303 -0.67563164 -0.36148036 -0.3705992 -0.31838009 -0.051079114 0.11155095 -0.50592415 -0.42145194 -0.24090195 0.1119286 0.097383539 0.1119286 0.097383539 -0.16158363 -0.1786925 -0.21303603 -0.51289454 -0.38877942 -0.49106359 0.1337713 -0.26974556 -0.4530164 0.24709634 -0.30614024 -0.37889172 -0.024283292 -0.28947587 -0.51678092 -0.1073352 -0.28781756 -0.55686092 -0.51074521 -0.35271372 -0.23756637 -0.73155346 -0.37146302 -0.47851415 0.080481743 -0.063779326 -0.10812861 -0.2843803 -0.43421148 -0.67288948 -0.48484039 -0.53493316 3
25 WALKING_UPSTAIRS 0.078156973 -0.027612708 -0.34615379 -0.37372745 0.096341876 0.14316589 0.85418365 -0.36998534 -0.28328007 -0.83659828 -0.840246 -0.6483279 0.29973831 -0.033131347 -0.51159201 -0.33455618 -0.31981618 -0.52583752 -0.44810408 0.0045658665 0.2350646 -0.50564685 -0.47447777 -0.082221558 0.040895537 -0.050034278 -0.11881097 -0.41725684 -0.61066021 -0.46073693 -0.066013136 -0.1621874 -0.066013136 -0.1621874 -0.37446221 -0.28586392 -0.1685337 -0.44755696 -0.54491105 -0.56338357 -0.30954637 -0.053451007 0.040453061 -0.40082566 0.10019886 0.10943263 -0.30645938 -0.32018501 -0.43803603 -0.4308375 -0.3689608 -0.61968223 -0.32000533 -0.43542035 -0.25225188 -0.56557768 -0.50386289 -0.11685809 -0.0512056 -0.36218995 -0.26509309 -0.3155656 -0.45477271 -0.53871623 -0.56906769 -0.58621612 2
26 SITTING 0.079402186 0.14062679 -0.1252977 -0.86741484 0.073153146 -0.94344502 0.77016905 0.4349024 0.075794285 -0.70726606 -0.011946833 -0.99268744 0.15012454 -0.57209822 0.03489524 -0.97608353 -0.90540299 -0.97534922 -0.037053527 -0.10996992 0.52760659 -0.96543463 -0.94368618 -0.92892588 -0.097321854 -0.03324512 -0.013719542 -0.93616204 -0.96739728 -0.97074558 -0.58499446 -0.17504652 -0.58499446 -0.17504652 -0.94899585 -0.94410197 -0.79349078 -0.93320508 -0.96713028 -0.94990093 -0.90063638 -0.15912437 -0.95709919 -0.85599574 0.11236897 -0.93951362 -0.97443049 -0.90796297 -0.97127948 -0.98041661 -0.90901057 -0.97808257 -0.94547348 -0.94788777 -0.92847176 -0.97242759 -0.94150551 -0.93538575 -0.32429286 -0.23018027 -0.94152482 -0.94648692 -0.94820787 -0.93475174 -0.94827122 -0.95542286 4
